  From Number    To Number  From Name         To Name             ID      Resistance_ohm    Reactance_ohm    Susceptance_uS    Base kV
-------------  -----------  ----------------  ------------------  ----  ----------------  ---------------  ----------------  ---------
         1101         1124  AGU-230_230.00    LVG-230_230.00      1               2.1160          13.7540           98.2987   230.0000
         1101         1124  AGU-230_230.00    LVG-230_230.00      2               2.1160          13.7540           98.2987   230.0000
         1101         1140  AGU-230_230.00    PAC-230_230.00      1               1.4971           2.9677           35.0662   230.0000
         1101         1908  AGU-230_230.00    JEN-230_230.00      1               1.0458           7.7472            0.8885   230.0000
         1101         1908  AGU-230_230.00    JEN-230_230.00      2               1.0458           7.7472            0.8885   230.0000
         1102         1106  ALB-230_230.00    ESC-231_230.00      1               0.0265           0.1481            1.7580   230.0000
         1102         1106  ALB-230_230.00    ESC-231_230.00      2               0.0529           0.1957            1.3611   230.0000
         1102         1109  ALB-230_230.00    GSU-231_230.00      1               3.1158          16.2086          207.4102   230.0000
         1102         1111  ALB-230_230.00    SID-230_230.00      1               0.2751           0.9681            6.7675   230.0000
         1102         1112  ALB-230_230.00    TAM-230_230.00      1               0.2751           0.9681            6.7675   230.0000
         1102         1140  ALB-230_230.00    PAC-230_230.00      1               0.6031           3.9252           30.5860   230.0000
         1102         1150  ALB-230_230.00    ISA-230_230.00      1               3.9463          15.1902          148.2042   230.0000
         1103         1141  CHX-231_230.00    CHX-233_230.00      1               0.5660           2.9201           38.1096   230.0000
         1103         1141  CHX-231_230.00    CHX-233_230.00      2               0.5660           2.9201           38.1096   230.0000
         1105         1150  ENR-230_230.00    ISA-230_230.00      1               1.1537           4.4399           43.3081   230.0000
         1106         1109  ESC-231_230.00    GSU-231_230.00      1               3.0788          16.0128          204.8960   230.0000
         1106         1120  ESC-231_230.00    SJQ-230_230.00      1               0.2962           1.6082           18.9981   230.0000
         1106         1132  ESC-231_230.00    SIQ-230_230.00      1               1.1797           6.3533           75.4064   230.0000
         1107         1108  GES-231_230.00    GNO-231_230.00      1               1.2749           6.5966           82.7410   230.0000
         1107         1108  GES-231_230.00    GNO-231_230.00      2               1.2749           6.5966           82.7410   230.0000
         1107         1109  GES-231_230.00    GSU-231_230.00      1               0.8676           4.4912           56.3705   230.0000
         1107         1109  GES-231_230.00    GSU-231_230.00      2               0.8676           4.4912           56.3705   230.0000
         1107         1170  GES-231_230.00    SNT-231_230.00      1               1.1839           6.4998           78.5255   230.0000
         1108         1138  GNO-231_230.00    LDR-230_230.00      1               0.9522           4.9197           64.6503   230.0000
         1108         1138  GNO-231_230.00    LDR-230_230.00      2               0.9522           4.9197           64.6503   230.0000
         1108         1444  GNO-231_230.00    TIC-231_230.00      1               5.2477          27.0531          353.6295   230.0000
         1108         1448  GNO-231_230.00    TIC-232_230.00      2               5.2477          27.0531          353.6295   230.0000
         1108         1771  GNO-231_230.00    SAS-230_230.00      1               4.2690          27.5979          196.9754   230.0000
         1108         1771  GNO-231_230.00    SAS-230_230.00      2               4.2690          27.5979          196.9754   230.0000
         1109         1130  GSU-231_230.00    CRU-230_230.00      1               1.4542           8.3958          126.6541   230.0000
         1109         1130  GSU-231_230.00    CRU-230_230.00      2               1.4542           8.3958          126.6541   230.0000
         1109         1793  GSU-231_230.00    INC-230_230.00      1               0.8993           7.3002           58.4121   230.0000
         1110         1119  LBR-231_230.00    ESP-230_230.00      1               2.5128          19.9592          160.1323   230.0000
         1110         1134  LBR-231_230.00    SOL-230_230.00      1               3.8617          22.2709          271.8336   230.0000
         1110         1145  LBR-231_230.00    PGO-231_230.00      1               1.8885          10.1674          120.6427   230.0000
         1113         1115  ESC-138_138.00    JUR-138_138.00      1               1.7597           6.3017           43.2682   138.0000
         1113         1755  ESC-138_138.00    GCS-138_138.00      1               2.5805           8.9564           66.2151   138.0000
         1114         1115  GSU-138_138.00    JUR-138_138.00      2               4.4182          15.4904          111.3212   138.0000
         1114         1122  GSU-138_138.00    PAL-138T_138.00     1               2.9747          10.4266           74.8792   138.0000
         1115         1122  JUR-138_138.00    PAL-138T_138.00     1               1.4473           5.0695           36.3894   138.0000
         1117         1164  SJO-230_230.00    CLI-230_230.00      1               0.1058           0.6909            5.3875   230.0000
         1119         1841  ESP-230_230.00    HUE-232_230.00      1               2.1001          17.4147          118.9603   230.0000
         1120         1121  SJQ-230_230.00    ARI-230_230.00      1               3.1846          14.8226          107.4291   230.0000
         1120         1140  SJQ-230_230.00    PAC-230_230.00      1               0.1164           0.2328            2.7410   230.0000
         1122         1123  PAL-138T_138.00   PAL-138_138.00      1               0.0267           0.0971            0.6826   138.0000
         1122         1174  PAL-138T_138.00   VBL-138_138.00      1               0.7284           2.5338           18.5885   138.0000
         1124         1129  LVG-230_230.00    MOY-232_230.00      1               3.8035          20.3771          246.2193   230.0000
         1124         1170  LVG-230_230.00    SNT-231_230.00      1               0.7522           4.1278           49.8866   230.0000
         1124        29161  LVG-230_230.00    F-AHU-LVG_230.00    1               5.2900          34.3321          244.9905   230.0000
         1125         1126  MOY-231_230.00    MOY-230_230.00      1               0.1481           0.7618            9.8299   230.0000
         1125        29162  MOY-231_230.00    F-AHU-MOY_230.00    1               1.6997           9.1014          109.9433   230.0000
         1126         1129  MOY-230_230.00    MOY-232_230.00      2               0.1481           0.7618            9.8299   230.0000
         1128        14319  LBR-400_400.00    THP-400_400.00      1               2.6720          38.3680          418.9750   400.0000
         1130         1134  CRU-230_230.00    SOL-230_230.00      1               4.1828          24.1520          142.9112   230.0000
         1130         1137  CRU-230_230.00    GOE-230_230.00      1               1.0120           5.8428           60.8696   230.0000
         1130         1137  CRU-230_230.00    GOE-230_230.00      2               1.0120           5.8428           60.8696   230.0000
         1130         1139  CRU-230_230.00    PLT-230_230.00      1               1.9081          11.0191          142.9112   230.0000
         1130         1139  CRU-230_230.00    PLT-230_230.00      2               1.9081          11.0191          142.9112   230.0000
         1131         1174  ORT-138_138.00    VBL-138_138.00      1               1.0804           3.7580           27.5677   138.0000
         1132         1145  SIQ-230_230.00    PGO-231_230.00      1               3.8088          20.4988          243.2703   230.0000
         1132         1167  SIQ-230_230.00    PNT-231_230.00      1               0.5819           4.4436           35.7278   230.0000
         1132         1219  SIQ-230_230.00    MAG-230_230.00      1               1.8938          12.3363           89.3195   230.0000
         1133         1444  PNZ-230_230.00    TIC-231_230.00      1               4.8530          28.0238          341.7769   230.0000
         1133         1730  PNZ-230_230.00    IZA-230_230.00      1               2.6228          15.1437          184.6881   230.0000
         1134         1841  SOL-230_230.00    HUE-232_230.00      1               4.2346          24.4504          244.8015   230.0000
         1135         1148  REN-232_230.00    REN-234_230.00      1               0.0735           0.4719            3.3081   230.0000
         1135         1756  REN-232_230.00    REN-230_230.00      1               0.3370           2.2043           14.8393   230.0000
         1137         1138  GOE-230_230.00    LDR-230_230.00      1               1.0580           6.1893           75.6144   230.0000
         1137         1138  GOE-230_230.00    LDR-230_230.00      2               1.0580           6.1893           75.6144   230.0000
         1137         1793  GOE-230_230.00    INC-230_230.00      1               1.0051           8.1995           65.5955   230.0000
         1138         1444  LDR-230_230.00    TIC-231_230.00      1               4.4277          22.8211          141.2098   230.0000
         1138         1444  LDR-230_230.00    TIC-231_230.00      2               4.4277          22.8211          141.2098   230.0000
         1139         1140  PLT-230_230.00    PAC-230_230.00      1               1.8637          10.7609          131.2476   230.0000
         1139         1140  PLT-230_230.00    PAC-230_230.00      2               1.8637          10.7609          131.2476   230.0000
         1140         1164  PAC-230_230.00    CLI-230_230.00      1               0.8623           5.6286           43.8941   230.0000
         1140         1166  PAC-230_230.00    SAA-230_230.00      1               0.6348           5.0784           40.8318   230.0000
         1140         1219  PAC-230_230.00    MAG-230_230.00      1               1.9044          15.1294          121.3611   230.0000
         1141         1444  CHX-233_230.00    TIC-231_230.00      1               3.0788          15.8436          206.8242   230.0000
         1141         1448  CHX-233_230.00    TIC-232_230.00      2               3.0788          15.8436          206.8242   230.0000
         1141         1771  CHX-233_230.00    SAS-230_230.00      1              63.7233          36.7957          448.7524   230.0000
         1141         1845  CHX-233_230.00    USP-230_230.00      1               2.0737          12.3998          145.8790   230.0000
         1141         1845  CHX-233_230.00    USP-230_230.00      2               2.0737          12.3998          145.8790   230.0000
         1145         1146  PGO-231_230.00    PGO-230_230.00      1               0.0476           0.4073            2.9301   230.0000
         1151         1240  ESC-691_69.000    EJO-69_69.000       2               0.8189           5.9132           52.5100    69.0000
         1151        12177  ESC-691_69.000    LLR-69_69.000       1               0.8422           3.4727           32.3461    69.0000
         1151        12204  ESC-691_69.000    GAC-691_69.000      1               0.2100           0.8289            8.1916    69.0000
         1151        12205  ESC-691_69.000    GAC-692_69.000      1               0.1985           0.7822            7.7715    69.0000
