  Number  Name                   Base kV    Type    Load MW    Load Mvar     Gen. MW    Set. kV    Mvar fixed    Mvar var.
--------  -------------------  ---------  ------  ---------  -----------  ----------  ---------  ------------  -----------
    1101  AGU-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1102  ALB-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1103  CHX-231               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1105  ENR-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1106  ESC-231               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1107  GES-231               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1108  GNO-231               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1109  GSU-231               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1110  LBR-231               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1111  SID-230               230.0000       1    39.9580       7.4670      0.0000   nan             0.0000       0.0000
    1112  TAM-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1113  ESC-138               138.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1114  GSU-138               138.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1115  JUR-138               138.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1116  SID-22                 22.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1117  SJO-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1118  AGU-13                 13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1119  ESP-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1120  SJQ-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1121  ARI-230               230.0000       1     0.1690       0.0000      0.0000   nan             0.0000       0.0000
    1122  PAL-138T              138.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1123  PAL-138               138.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1124  LVG-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1125  MOY-231               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1126  MOY-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1128  LBR-400               400.0000       1     0.0000       0.0000      0.0000   nan             0.0000     -33.3200
    1129  MOY-232               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1130  CRU-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1131  ORT-138               138.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1132  SIQ-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1133  PNZ-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1134  SOL-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1135  REN-232               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1137  GOE-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1138  LDR-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1139  PLT-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1140  PAC-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1141  CHX-233               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1143  GOE-692                69.0000       1    54.6450       4.9780      0.0000   nan             0.0000       0.0000
    1144  PLT-69                 69.0000       1    76.7180      14.2070      0.0000   nan             0.0000       0.0000
