  From number    To number  From name           To name             ID      In service    R (pu)    X (pu)    Tap ratio (pu)    Capacity (MVA)
-------------  -----------  ------------------  ------------------  ----  ------------  --------  --------  ----------------  ----------------
         1101         1118  AGU-230_230.00      AGU-13_13.800       1                1    0.0000    1.2100            1.0000           10.0000
         1101         1606  AGU-230_230.00      AGU-H1_10.000       1                1    0.0000    0.3752            1.0109           37.5000
         1101         1607  AGU-230_230.00      AGU-H2_10.000       1                1    0.0000    0.3752            1.0109           37.5000
         1101         1608  AGU-230_230.00      AGU-H3_10.000       1                1    0.0000    0.3752            1.0109           37.5000
         1102         1151  ALB-230_230.00      ESC-691_69.000      1                1    0.0000    0.1636            1.0000          100.0000
         1103         1601  CHX-231_230.00      CHX-H1_13.800       1                1    0.0000    0.1861            1.0000           67.6000
         1103         1602  CHX-231_230.00      CHX-H2_13.800       1                1    0.0000    0.1861            1.0000           67.6000
         1103         1603  CHX-231_230.00      CHX-H3_13.800       1                1    0.0000    0.1861            1.0000           67.6000
         1103         1604  CHX-231_230.00      CHX-H4_13.800       1                1    0.0000    0.1861            1.0000           67.6000
         1103         1605  CHX-231_230.00      CHX-H5_13.800       1                1    0.0000    0.1861            1.0000           67.6000
         1105         1630  ENR-230_230.00      ENR-B1_13.800       1                1    0.0000    0.1569            1.0250           75.0000
         1105         1631  ENR-230_230.00      ENR-B2_13.800       1                1    0.0000    0.1569            1.0250           75.0000
         1106         1151  ESC-231_230.00      ESC-691_69.000      1                1    0.0000    0.1190            1.0000          100.0000
         1109         1154  GSU-231_230.00      GSU-691_69.000      2                1    0.0000    0.0615            0.9550          195.0000
         1109         1156  GSU-231_230.00      GSU-692_69.000      1                1    0.0000    0.1543            0.9400          120.0000
         1110         1128  LBR-231_230.00      LBR-400_400.00      1                1    0.0000    0.0999            1.0041          247.5000
         1110         1128  LBR-231_230.00      LBR-400_400.00      2                1    0.0000    0.0999            1.0041          247.5000
         1111         1116  SID-230_230.00      SID-22_22.800       1                1    0.0000    0.1690            1.0000           67.2000
         1112         1633  TAM-230_230.00      TAM-G1_13.800       1                1    0.0000    0.3306            1.0000           60.0000
         1112         1634  TAM-230_230.00      TAM-G2_13.800       1                1    0.0000    0.3306            1.0000           60.0000
