  From number    To number  From name         To name              Last bus number  Last bus name       ID    Service                 R (pu)    X (pu)    Tap ratio (pu)
-------------  -----------  ----------------  -----------------  -----------------  ------------------  ----  --------------------  --------  --------  ----------------
         1105         1621  ENR-230_230.00    ENR-B3_13.800                   1623  ENR-B3B_13.800      1     All in-service          0.0000    0.1111                 1
         1106         1113  ESC-231_230.00    ESC-138_138.00                  1502  ESC-T1_13.800       1     All in-service          0.0000    0.1157                 1
         1106         1151  ESC-231_230.00    ESC-691_69.000                  1504  ESC-T2_13.800       1     All in-service          0.0000    0.1190                 1
         1107         1155  GES-231_230.00    GES-69_69.000                   1507  GES-13T_13.800      1     All in-service          0.0000    0.0615                 1
         1107         1155  GES-231_230.00    GES-69_69.000                   1522  GES-132T_13.800     1     All in-service          0.0000    0.0615                 1
         1108         1152  GNO-231_230.00    GNO-691_69.000                  1503  GNO-131T_13.800     1     All in-service          0.0000    0.0833                 1
         1108         1152  GNO-231_230.00    GNO-691_69.000                  1518  GNO-133T_13.800     1     All in-service          0.0000    0.0879                 1
         1108         1153  GNO-231_230.00    GNO-692_69.000                  1505  GNO-132T_13.800     1     All in-service          0.0000    0.0833                 1
         1109         1154  GSU-231_230.00    GSU-691_69.000                  1513  GSU-133T_13.200     1     All in-service          0.0000    0.0833                 1
         1110         1306  LBR-231_230.00    LBR-691_69.000                  1501  LBR-13T_13.800      1     All in-service          0.0000    0.1157                 1
         1114         1156  GSU-138_138.00    GSU-692_69.000                  1509  GSU-131T_13.200     1     All in-service          0.0000    0.0820                 1
         1114         1156  GSU-138_138.00    GSU-692_69.000                  1511  GSU-132T_13.200     1     All in-service          0.0000    0.0820                 1
         1119         1304  ESP-230_230.00    ESP-69_69.000                   1506  ESP-T1_13.800       1     All in-service          0.0000    0.1233                 1
         1119         1820  ESP-230_230.00    ESP-138_138.00                  1519  ESP-132T_13.800     1     All in-service          0.0000    0.0636                 1
         1124        14038  LVG-230_230.00    LVG-692_69.000                  1530  LVG-13T_13.800      1     All in-service          0.0000    0.1242                 1
         1133         1721  PNZ-230_230.00    PNZ-69_69.000                   1531  PNZ-13T_13.800      1     All in-service          0.0000    0.1170                 1
         1150        12332  ISA-230_230.00    ISA-69_69.000                   1534  ISA-13T_13.800      2     All in-service          0.0000    0.1317                 1
         1499         1409  PAN-138_138.00    PAN-69_69.000                   1521  PAN-13T2_13.800     1     All in-service          0.0000    0.1143                 1
         1710         1409  PAN-230_230.00    PAN-69_69.000                   1516  PAN-13T_13.800      1     All in-service          0.0000    0.1174                 1
         1730         1735  IZA-230_230.00    IZA-69_69.000                   1527  IZA-13T_13.800      1     All in-service          0.0000    0.2486                 1
         1732         1736  MOR-230_230.00    MOR-69_69.000                   1526  MOR-13T_13.800      1     All in-service          0.0000    0.2470                 1
         1771         1772  SAS-230_230.00    SAS-69_69.000                   1524  SAS-13T_13.800      1     All in-service          0.0000    0.1494                 1
         1822         1305  HUE-138_138.00    HUE-69_69.000                   1520  HUE-13T             1     All in-service          0.0000    0.1277                 1
         1841         1842  HUE-232_230.00    HUE-1382_138.00                 1528  HUE-132T_13.800     1     All in-service          0.0000    0.1238                 1
         3029         3053  CRL_B501_138.00   CRL_B301_34.500                 3968  TER_CRL_T53613.800  1     All in-service          0.0000    0.2990                 1
         3029         3054  CRL_B501_138.00   CRL_69KV_69.000                 3969  TER_CRL_T50113.800  1     All in-service          0.0000    0.2084                 1
         3030         3113  SUY_B515_138.00   SUY_B418_69.000                 3962  TER_SUY_T54213.800  1     All in-service          0.0000    0.2084                 1
         3030         3113  SUY_B515_138.00   SUY_B418_69.000                 3973  TER_SUY_T51013.800  1     All in-service          0.0000    0.2067                 1
         3032         3418  CJN_B601_230.00   CJN_B370_34.500                 3990  TER_CJN_T63113.800  1     All in-service          0.0000    0.4000                 1
         3033         3030  SUY_B612_230.00   SUY_B515_138.00                 3131  SUY_R212_13.800     1     All in-service          0.0049    0.1300                 1
         3033         3030  SUY_B612_230.00   SUY_B515_138.00                 3132  SUY_R213_13.800     1     All in-service          0.0049    0.1317                 1
         3034         3090  PAV_B620_230.00   PAV_B363_34.500                 3981  TER_PAV_T63313.800  1     All in-service          0.0000    0.4633                 1
         3037         3036  BER_B507_138.00   BER_B410_69.000                 3999  TER_BER_T50513.800  1     All in-service          0.0000    0.2066                 1
         3038         3094  PGR_B509_138.00   PGR_B422_69.000                 3980  TER_PGR_T52013.800  1     All in-service          0.0000    0.2066                 1
         3043         3042  BOR_B571_138.00   BOR_B332_34.500                 3994  TER_BOR_T53213.800  1     All in-service          0.0000    0.5160                 1
         3055         3027  CTE_B513_138.00   CTE_B307_34.500                 3023  CTE_B209_13.800     1     All in-service          0.0000    0.1503                 1
         3058         3057  DAN_B432_69.000   DAN_B334_34.500                 3988  TER_DAN_T43313.800  1     All in-service          0.0000    0.8080                 1
         3058         3141  DAN_B432_69.000   DAN_B333_34.500                 3989  TER_DAN_T43213.800  1     All in-service          0.0000    0.8160                 1
         3062         3061  GMC_B437_69.000   GMC_B347_34.500                 3986  TER_GMC_T42713.800  1     All in-service          0.0000    0.5123                 1
         3064         3063  GUA_B537_138.00   GUA_B337_34.500                 3178  TER_T537_13.800     1     All in-service          0.0000    0.5132                 1
         3069         3068  JUT_B438_69.000   JUT_B337_34.500                 3985  TER_JUT_T43813.800  1     All in-service          0.0000    0.5339                 1
         3071         3070  LFL_B434_69.000   LFL_B301_34.500                 3970  TER_LFL_T43413.800  2     All in-service          0.0000    1.6480                 1
         3071         3070  LFL_B434_69.000   LFL_B301_34.500                 3972  TER_LFL_T42613.800  1     All in-service          0.0000    1.6320                 1
         3078         3018  LPT_B503_138.00   LPT_B201_13.800                 3984  TER_LPT_T52513.800  1     All in-service          0.0000    0.4200                 1
         3082         3081  MAS_B544_138.00   MAS_B352_34.500                 3983  TER_MAS_T54513.800  1     All in-service          0.0000    0.5180                 1
         3087         3086  MOR_B435_69.000   MOR_B335_34.500                 3982  TER_MOR_T43513.800  1     All in-service          0.0000    0.7727                 1
         3089         3088  NIS_B439_69.000   NIS_B310_34.500                 3011  NIS_U01_13.800      1     Wnd 3 out-of-service    0.0000    0.4515                 1
         3095         3038  PGR_B603_230.00   PGR_B509_138.00                 3957  TER_PGR_T6XX13.800  1     All in-service          0.0000    0.0889                 1
         3095         3038  PGR_B603_230.00   PGR_B509_138.00                 3978  TER_PGR_T60413.800  2     All in-service          0.0000    0.0877                 1
         3095         3038  PGR_B603_230.00   PGR_B509_138.00                 3979  TER_PGR_T60313.800  1     All in-service          0.0000    0.0889                 1
         3100         3135  SFE_B404_69.000   SFE_34.5KV_34.500               3976  TER_SFE_T41013.800  1     All in-service          0.0000    0.7440                 1
         3101         3099  SFE_B505_138.00   SFE_B303_34.500                 3975  TER_SFE_T51413.800  1     All in-service          0.0000    0.5360                 1
         3101         3100  SFE_B505_138.00   SFE_B404_69.000                 3963  TER_SFE_T50913.800  1     All in-service          0.0000    0.2200                 1
         3103         3102  SGT_138KV_138.00  SGT_B374_34.500                 3974  TER_SGT_T50413.800  1     All in-service          0.0000    0.9883                 1
         3118         3117  TEL_B511_138.00   TEL_B305_34.500                 3967  TER_TEL_T50713.800  1     All in-service          0.0000    0.5127                 1
         3122         3116  TSZ_B526_138.00   TAL_B404_69.000                 3965  TER_TSZ_T52813.800  1     All in-service          0.0000    0.2242                 1
         3122         3121  TSZ_B526_138.00   TSZ_B226_13.800                 3966  TER_TSZ_T52613.800  1     All in-service          0.0000    0.4200                 1
         3128         3127  ZAM_B431_69.000   ZAM_B331_34.500                 3971  TER_ZAM_T43013.800  1     All in-service          0.0000    0.2978                 1
         3155         3120  TON_B610_230.00   TON_B535_138.00                 3961  TER_TON_T61013.800  1     All in-service          0.0000    0.0889                 1
         3188         3555  PSM_230_230.00    PSM_B346_34.500                 3561  EBI_TER_T64613.800  1     All in-service          0.0000    0.2340                 1
         3310         3311  PRD_B618_230.00   PRD_B360_34.500                 3977  TER_PRD_T63213.800  1     All in-service          0.0000    0.3750                 1
         3326         3325  JUD_B650_230.00   JUD_B412_69.000                 3327  TER_JUD_T62334.500  1     All in-service          0.0000    0.0949                 1
         3341         3580  CHY_B647_230.00   CHY_34.5KV_34.500               3959  TER_CHI_13.813.800  1     Wnd 3 out-of-service    0.0000    0.1404                 1
         3350         3126  YOR_B436_69.000   YOR_B336_34.500                 3964  TER_YOR_T43613.800  1     All in-service          0.0000    0.7664                 1
         3425         3426  ERA_B471_69.000   ERA_B302_34.500                 3987  TER_ERA_T47113.800  1     All in-service          0.0000    0.6148                 1
         3429         3427  AMT_B605_230.00   AMT_B541_138.00                 3428  AMT_B314_34.500     1     All in-service          0.0000    0.0854                 1
         3432         3433  CHI_B403_69.000   CHI_B362_34.500                 3993  TER_CHI_T46213.800  1     All in-service          0.0000    0.6148                 1
         3436         3438  PLL_B363_34.500   PLL_1_0.4000                    3437  PLL_0.4000          1     All in-service          0.0000    0.2400                 1
         3544         3545  CDH_B629_230.00   CDH_34.5_34.500                 3546  CDH_13.8KV_13.800   1     All in-service          0.0000    0.1637                 1
         3544         3545  CDH_B629_230.00   CDH_34.5_34.500                 3958  CDH_13.8KV_13.800   1     All in-service          0.0000    0.1637                 1
         3553         3106  SLU_B637_230.00   SLU_B321_34.500                 3960  TER_SLU_34.534.500  1     All in-service          0.0000    0.1663                 1
         4300         4200  ACH-138_138.00    ACH-69_69.000                   4186  ACH-AT1_13.800      1     All in-service          0.0000    0.2578                 1
         4312         4218  EVJ-138_138.00    EVJ-69_69.000                   4900  EVJ13.8T_13.800     1     All in-service          0.0000    0.2576                 1
         4316         4221  LNI-138_138.00    LNI-69_69.000                   4906  LNI-TT3_13.800      3     All in-service          0.0000    0.2750                 1
         4317         4225  MGA-138_138.00    MGA-69_69.000                   4912  MGA13.8A_14.400     2     All out-of-service      0.0000    0.1575                 1
         4332         4234  SNR-138_138.00    SNR-69_69.000                   4914  SNR13.8T_13.800     1     All in-service          0.0000    0.7040                 1
         4401         4315  LBS-230_230.00    LBS-138_138.00                  4908  LBS-AT1_13.800      1     All in-service          0.0049    0.1376                 1
         4401         4315  LBS-230_230.00    LBS-138_138.00                  4910  LBS-AT2_13.800      1     All in-service          0.0049    0.1376                 1
         4403         4316  LNI-230_230.00    LNI-138_138.00                  4122  LNI-24.9_24.900     1     All in-service          0.0000    0.0565                 1
         4403         4316  LNI-230_230.00    LNI-138_138.00                  4124  LNI-24.9_24.900     1     All in-service          0.0000    0.0565                 1
         4404         4319  MSY-230_230.00    MSY-138_138.00                  4916  MSY-AT1_13.800      1     All in-service          0.0000    0.1405                 1
